"対象","科目","No","タイトル","公開日","URL","長さ"
"小学6年","算数","1","角柱と円柱","2020-04-17T11:25:13.000Z","https://www.youtube.com/watch?v=pI9CC3GuVjE","00:15:55"
"小学4年","外国語","1","自己紹介(1)","2020-04-17T11:25:25Z","https://www.youtube.com/watch?v=E9cVFEgDt4A","00:14:06"
"小学2年","算数","1","なんばんめ","2020-04-17T11:25:37Z","https://www.youtube.com/watch?v=Rj5NlGCOABs","00:15:03"
"高校1年","英語","3","品詞","2020-04-15T09:27:23Z","https://www.youtube.com/watch?v=-DXObTgGmwc","00:09:36"
"高校1年","数学","7","因数分解(2)(ax+b)(cx+d)","2020-04-15T09:27:24Z","https://www.youtube.com/watch?v=-QCMTiAQeIo","00:14:36"
"高校1年","数学","6","因数分解(1)(x+a)(x+b)","2020-04-15T09:27:23Z","https://www.youtube.com/watch?v=svgDv-ncoAY","00:13:43"
"高校1年","数学","5","式の展開の工夫","2020-04-15T09:27:23Z","https://www.youtube.com/watch?v=pQivGGfubxM","00:10:35"
"中学3年","国語","1","古典の復習","2020-04-15T09:27:23Z","https://www.youtube.com/watch?v=BWJvtuJdJ68","00:14:45"
"中学2年","理科","1","地層から読み取る大地の変化","2020-04-15T09:27:23Z","https://www.youtube.com/watch?v=Q7ok9YayiA0","00:14:46"
"中学1年","英語","1","中学校でしたいこと","2020-04-15T09:27:23Z","https://www.youtube.com/watch?v=tEMJhIVZYT0","00:08:27"
"小学5年","算数","1","直方体と立方体","2020-04-15T09:27:23Z","https://www.youtube.com/watch?v=CEOgvDD1Fnk","00:13:37"
"小学3年","外国語","1","自己紹介(1)","2020-04-15T09:27:24Z","https://www.youtube.com/watch?v=US5KCPV-eBQ","00:10:48"
"小学1年","算数","1","さんすうをはじめよう","2020-04-15T09:27:23Z","https://www.youtube.com/watch?v=VPLHk-Ydg9g","00:13:53"
"高校1年","英語","2","英語の語順","2020-04-17T11:28:19Z","https://www.youtube.com/watch?v=RiSyTzHTts0","00:11:39"
"高校1年","数学","4","展開の公式","2020-04-17T11:28:29Z","https://www.youtube.com/watch?v=jez2hwMau1M","00:06:23"
"中学3年","理科","1","発電機のしくみ","2020-04-17T11:28:39Z","https://www.youtube.com/watch?v=u8jaIYOiMBU","00:10:35"
"中学2年","英語","1","思い出","2020-04-17T11:28:50Z","https://www.youtube.com/watch?v=DYfwKLbmYzo","00:10:20"
"中学1年","数学","1","正の数・負の数","2020-04-17T11:29:02Z","https://www.youtube.com/watch?v=EaJwC4nE4aM","00:11:36"
"小学6年","外国語","1","自己紹介(1)","2020-04-17T11:29:13Z","https://www.youtube.com/watch?v=kTyZ0B4Z6w0","00:13:15"
"小学4年","算数","1","間の数","2020-04-17T11:29:23Z","https://www.youtube.com/watch?v=BbH7_X5WoT4","00:09:20"
"小学2年","国語","1","だいじなことをおとさずに話したり聞いたりしよう","2020-04-17T11:29:35Z","https://www.youtube.com/watch?v=ZlXwZpfM9Bs","00:12:15"
"高校1年","数学","3","整式の加法と減法および乗法","2020-04-17T11:29:44Z","https://www.youtube.com/watch?v=g0mAEnV9pNU","00:10:39"
"高校1年","数学","2","整式","2020-04-17T11:29:55Z","https://www.youtube.com/watch?v=nps0iJVyTZo","00:12:20"
"高校1年","国語","1","オリエンテーション","2020-04-17T11:30:18Z","https://www.youtube.com/watch?v=sC0FIsUMhyk","00:07:15"
"高校1年","数学","1","オリエンテーション","2020-04-17T11:30:29Z","https://www.youtube.com/watch?v=DQHDWG9qciY","00:06:57"
"高校1年","英語","1","オリエンテーション","2020-04-17T11:30:41Z","https://www.youtube.com/watch?v=I_OS0LCGNUw","00:09:22"
"小学5年","外国語","1","自己紹介(1)","2020-04-17T11:31:31Z","https://www.youtube.com/watch?v=qBVZRRrwx1A","00:14:39"
