"教材ID","教材シリーズ名","教材種別","対象","科目","提供","提供URL","URL","No","タイトル","公開日","長さ","機材","キーボード","月","単元名","ページ","サイト名","内容","注意事項など","言語","講師","教科"
"1","ふくいわくわく授業","動画","中学1年","数学","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=EaJwC4nE4aM","1","正の数・負の数","2020-04-17T11:29:02.000Z","00:11:36",,,,,,,,,,,
"1","ふくいわくわく授業","動画","小学6年","外国語","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=kTyZ0B4Z6w0","1","自己紹介(1)","2020-04-17T11:29:13.000Z","00:13:15",,,,,,,,,,,
"1","ふくいわくわく授業","動画","小学4年","算数","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=BbH7_X5WoT4","1","間の数","2020-04-17T11:29:23.000Z","00:09:20",,,,,,,,,,,
"1","ふくいわくわく授業","動画","小学2年","国語","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=ZlXwZpfM9Bs","1","だいじなことをおとさずに話したり聞いたりしよう","2020-04-17T11:29:35.000Z","00:12:15",,,,,,,,,,,
"1","ふくいわくわく授業","動画","高校1年","数学","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=g0mAEnV9pNU","3","整式の加法と減法および乗法","2020-04-17T11:29:44.000Z","00:10:39",,,,,,,,,,,
"1","ふくいわくわく授業","動画","高校1年","数学","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=nps0iJVyTZo","2","整式","2020-04-17T11:29:55.000Z","00:12:20",,,,,,,,,,,
"1","ふくいわくわく授業","動画","高校1年","国語","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=sC0FIsUMhyk","1","オリエンテ-ション","2020-04-17T11:30:18.000Z","00:07:15",,,,,,,,,,,
"1","ふくいわくわく授業","動画","高校1年","数学","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=DQHDWG9qciY","1","オリエンテ-ション","2020-04-17T11:30:29.000Z","00:06:57",,,,,,,,,,,
"1","ふくいわくわく授業","動画","高校1年","英語","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=I_OS0LCGNUw","1","オリエンテ-ション","2020-04-17T11:30:41.000Z","00:09:22",,,,,,,,,,,
"1","ふくいわくわく授業","動画","小学5年","外国語","福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://www.youtube.com/watch?v=qBVZRRrwx1A","1","自己紹介(1)","2020-04-17T11:31:31.000Z","00:14:39",,,,,,,,,,,
"2","PCNチャンネル","動画","小中学生","プログラミング","PCN福井","https://pcn.club/channel/","https://www.youtube.com/embed/0drNeZ9UUIs",,"IchigoJam はじめのいっぽ",,,"IchigoJam",,,,,,,,,,
"2","PCNチャンネル","動画","小中学生","プログラミング","PCN福井","https://pcn.club/channel/","https://www.youtube.com/embed/0LH2yKFv7eI",,"MixJuiceをはじめよう！",,,"IchigoJam,MixJuice",,,,,,,,,,
"2","PCNチャンネル","動画","小中学生","プログラミング","PCN上田","https://pcn.club/channel/","https://www.youtube.com/embed/zmrsiTEHGJ8",,"100mダッシュゲームを作ろう（日本語キーボード用）",,,"IchigoJam","日本語",,,,,,,,,
"2","PCNチャンネル","動画","小中学生","プログラミング","PCN上田","https://pcn.club/channel/","https://www.youtube.com/embed/v5iC50Uciow",,"100mダッシュゲームを作ろう（英語キーボード用）",,,"IchigoJam","英語",,,,,,,,,
"2","PCNチャンネル","動画","小中学生","プログラミング","PCN上田","https://pcn.club/channel/","https://www.youtube.com/embed/tmMgcfV5C-c",,"大なわとびさっちゃんを作ろう（日本語キーボード用）",,,"IchigoJam","日本語",,,,,,,,,
"2","PCNチャンネル","動画","小中学生","プログラミング","PCN上田","https://pcn.club/channel/","https://www.youtube.com/embed/cS1pUGEGCc0",,"大なわとびさっちゃんを作ろう（英語キーボード用）",,,"IchigoJam","英語",,,,,,,,,
"2","PCNチャンネル","動画","小中学生","プログラミング","PCN上田","https://pcn.club/channel/","https://www.youtube.com/embed/7QCJrovRcTM",,"ジャンプゲームを作ろう（日本語キーボード用）",,,"IchigoJam","日本語",,,,,,,,,
"2","PCNチャンネル","動画","小中学生","プログラミング","PCN上田","https://pcn.club/channel/","https://www.youtube.com/embed/uuAcHxxHoE8",,"ジャンプゲームを作ろう（英語キーボード用）",,,"IchigoJam","英語",,,,,,,,,
"2","PCNチャンネル","動画","小中学生","プログラミング","PCN上田","https://pcn.club/channel/","https://www.youtube.com/embed/FeIl3tv2QqE",,"スカッシュゲームを作ろう（日本語キーボード用）",,,"IchigoJam","日本語",,,,,,,,,
