"タイトル","公開日","URL","長さ","科目","対象","プレイリストタイトル"
"フーリエ変換の気持ち","2018-04-15T13:59:57.000Z","https://www.youtube.com/watch?v=bjBZEKdlLD0","00:10:02","数学","大人","解析学"
"デルタ関数とは何か","2017-11-20T16:08:19.000Z","https://www.youtube.com/watch?v=ojMth6p1FUA","00:08:56","数学","大人","解析学"
"ライプニッツの公式","2018-10-17T09:03:34.000Z","https://www.youtube.com/watch?v=y03nY420x94","00:08:47","数学","大人","解析学"
"supとinf(上限と下限)","2018-12-20T08:37:30.000Z","https://www.youtube.com/watch?v=pySvmqhB6BY","00:15:51","数学","大人","解析学"
"各点収束と一様収束(関数列の極限)","2019-03-17T17:09:18.000Z","https://www.youtube.com/watch?v=r0V14KCiixU","00:31:05","数学","大人","解析学"
"重積分①(その意味)/全4回","2018-03-28T10:23:49.000Z","https://www.youtube.com/watch?v=eqdsux1il54","00:09:23","数学","大人","解析学"
"重積分②(累次積分法)/全4回","2018-04-15T14:00:16.000Z","https://www.youtube.com/watch?v=20jMCdR7ZL4","00:14:57","数学","大人","解析学"
"重積分③(置換積分法)/全4回","2018-05-16T11:13:51.000Z","https://www.youtube.com/watch?v=qpDZS1bzt-E","00:08:16","数学","大人","解析学"
"重積分④(ヤコビアン)/全4回","2018-06-16T16:39:24.000Z","https://www.youtube.com/watch?v=Iu8jVdkiKTc","00:14:58","数学","大人","解析学"
"ガンマ関数①(定義と性質)","2019-06-26T16:28:24.000Z","https://www.youtube.com/watch?v=K-HwL3N4P5Q","00:17:00","数学","大人","解析学"
